,PR,PBA,PRA,PRB,PRD
,"0,90","0,52","0,70","0,89","0,68"
,"0,88","0,39","0,52","0,91","0,45"
,"0,66","0,43","0,82","0,91","0,69"
,"0,80","0,83","0,04","0,88","0,80"
,"0,72","0,66","0,04","0,72","0,77"
,"0,80","0,02","0,98","0,90","0,68"
,"0,80","0,66","0,50","0,88","0,59"
,"0,71","0,66","0,21","0,90","0,69"
,"0,72","0,68","0,04","0,91","0,70"
,"0,74","0,57","0,81","0,94","0,58"
,"0,83","0,68","0,79","0,92","0,52"
,"0,70","0,38","0,54","0,86","0,81"
,"0,72","0,56","0,15","0,91","0,77"
,"0,24","0,40","0,65","0,88","0,76"
,"0,82","0,59","0,27","0,89","0,81"
,"0,78","0,52","0,48","0,91","0,46"
,"0,68","0,47","0,80","0,89","0,65"
,"0,80","0,75","0,67","0,90","0,68"
,"0,64","0,52","0,79","0,92","0,63"
,"0,82","0,57","0,58","0,89","0,55"
,"0,62","0,75","0,04","0,92","0,48"
,"0,77","0,46","0,47","0,86","0,56"
,"0,83","0,77","0,76","0,88","0,71"
,"0,69","0,18","0,73","0,90","0,54"
,"0,73","0,10","0,41","0,92","0,81"
,"0,74","0,66","0,37","0,90","0,64"
,"0,85","0,52","0,46","0,86","0,52"
,"0,77","0,53","0,82","0,82","0,73"
,"0,81","0,57","0,51","0,92","0,53"
,"0,78","0,67","0,61","0,88","0,76"
,"0,79","0,34","0,53","0,86","0,81"
,"0,61","0,69","0,03","0,84","0,47"
,"0,78","0,53","0,03","0,88","0,83"
,"0,82","0,32","0,56","0,91","0,58"
,"0,81","0,69","0,03","0,94","0,54"
,"0,78","0,62","0,68","0,92","0,51"
,"0,82","0,77","0,56","0,93","0,64"
,"0,73","0,40","0,41","0,90","0,67"
,"0,81","0,44","0,79","0,90","0,64"
,"0,71","0,10","0,57","0,87","0,55"
,"0,81","0,70","0,47","0,91","0,41"
,"0,76","0,42","0,38","0,90","0,74"
,"0,83","0,70","0,77","0,82","0,70"
,"0,72","0,54","0,15","0,91","0,59"
,"0,72","0,66","0,30","0,90","0,52"
,"0,82","0,67","0,44","0,84","0,67"
,"0,73","0,66","1,04","0,90","0,69"
,"0,64","0,40","0,77","0,89","0,68"
,"0,90","0,18","0,48","0,92","0,70"
,"0,81","0,57","0,04","0,87","0,48"
,"0,82","0,71","0,03","0,92","0,65"
,"0,78","0,61","0,35","0,84","0,70"
,"0,71","0,39","0,03","0,90","0,51"
,"0,82","0,32","-0,04","0,91","0,59"
,"0,85","0,73","0,61","0,87","0,66"
,"0,87","0,13","0,55","0,87","0,60"
,"0,51","0,63","0,67","0,88","0,55"
,"0,63","0,62","0,44","0,94","0,61"
,"0,80","0,23","0,04","0,88","0,71"
,"0,74","0,56","0,62","0,90","0,75"
,"0,84","0,69","0,61","0,87","0,64"
,"0,76","0,38","0,04","0,92","0,64"
,"0,55","0,19","0,63","0,91","0,76"
,"0,46","0,59","0,04","0,88","0,70"
,"0,81","0,57","0,55","0,93","0,55"
,"0,78","0,69","0,17","0,90","0,69"
,"0,79","0,66","0,44","0,89","0,66"
,"0,75","0,80","0,02","0,89","0,51"
,"0,81","0,35","0,75","0,91","0,75"
,"0,69","0,31","0,03","0,91","0,79"
,"0,80","-0,03","0,02","0,91","0,57"
,"0,82","-0,04","0,51","0,93","0,60"
,"0,66","0,34","0,02","0,56","0,67"
,"0,68","0,56","0,02","0,87","0,58"
,"0,80","0,66","0,03","0,91","0,72"
,"0,87","0,55","0,76","0,85","0,61"
,"0,67","0,54","0,02","0,83","0,70"
,"0,49","0,57","0,38","0,83","0,66"
,"0,87","0,53","0,56","0,83","0,64"
,"0,82","0,63","0,60","0,75","0,72"
,"0,74","0,79","0,47","0,77","0,58"
,"0,78","0,62","0,42","0,91","0,66"
,"0,83","0,64","0,95","0,92","0,62"
,"0,72","0,19","0,71","0,87","0,68"
,"0,69","0,64","0,59","0,89","0,20"
,"0,79","0,77","0,36","0,89","0,67"
,"0,79","0,71","0,38","0,81","0,77"
,"0,85","0,61","0,44","0,90","0,55"
,"0,74","0,60","0,66","0,81","0,69"
,"0,79","0,52","0,39","0,93","0,77"
,"0,61","-0,09","0,30","0,89","0,74"
,"0,68","0,30","0,55","0,90","0,57"
,"0,63","0,35","0,55","0,89","0,70"
,"0,80","0,64","0,24","0,90","0,67"
,"0,84","0,10","0,62","0,91","0,74"
,"0,80","0,65","0,43","0,83","0,62"
,"0,85","0,33","0,45","0,91","0,52"
,"0,83","0,46","0,42","0,94","0,49"
,"0,69","-0,08","0,36","0,89","0,70"
,"0,57","0,28","0,58","0,91","0,67"