,PR ,PBA ,PG,PRA ,PRB ,PRD
,"12,07","12,07","7,60","14,83","7,73","10,20"
,"12,17","11,63","10,93","13,17","11,37","10,77"
,"10,87","12,77","11,17","15,67","12,53","9,40"
,"11,37","5,50","8,03","14,57","7,70","9,43"
,"11,13","11,50","7,83","17,07","5,50","9,40"
,"8,97","11,10","10,57","17,57","5,43","9,27"
,"11,00","11,57","10,07","6,37","4,03","10,43"
,"11,80","7,77","8,23","9,57","12,23","2,20"
,"12,40","11,13","4,50","18,23","11,07","10,13"
,"6,37","11,83","9,33","15,30","7,63","10,53"
,"11,27","12,13","6,20","14,87","11,30","10,80"
,"12,07","12,20","10,77","16,77","11,50","9,77"
,"11,23","12,30","3,70","14,67","13,30","9,53"
,"8,60","12,40","9,97","17,47","11,50","10,73"
,"12,53","13,33","11,57","25,00","8,77","10,60"
,"11,33","11,70","7,93","7,30","6,27","10,17"
,"11,57","11,57","9,37","10,93","13,37","10,60"
,"11,00","11,50","10,23","14,83","11,67","10,93"
,"11,93","11,93","10,93","5,40","5,77","10,00"
,"11,77","12,10","10,73","15,10","8,20","10,53"
,"7,80","11,27","9,00","15,10","12,20","9,63"
,"12,63","6,67","10,40","14,73","12,17","9,60"
,"11,47","10,97","10,33","14,87","11,57","11,10"
,"12,67","11,33","3,73","17,37","11,37","9,87"
,"11,30","11,57","10,77","12,37","12,03","10,57"
,"11,60","11,57","10,67","15,70","12,07","8,93"
,"11,80","11,03","10,17","15,37","11,43","9,77"
,"11,20","11,73","7,80","16,97","11,30","10,70"
,"10,77","11,27","7,67","16,77","9,53","9,40"
,"11,83","7,50","6,60","15,90","7,90","9,53"
,"12,33","5,73","8,27","15,40","10,47","9,40"
,"12,60","12,33","8,10","16,40","11,13","10,53"
,"6,63","7,67","7,33","15,60","10,07","10,17"
,"11,20","7,77","10,83","9,50","11,33","8,67"
,"11,87","11,60","10,20","14,87","11,83","10,20"
,"10,50","11,03","7,33","16,83","12,03","10,30"
,"12,83","11,97","7,87","15,80","6,07","4,03"
,"11,87","12,27","10,07","15,47","11,43","10,53"
,"10,87","11,57","7,23","16,60","11,80","9,83"
,"11,57","12,13","10,73","17,53","18,43","10,40"
,"12,23","12,10","10,53","14,93","11,70","10,53"
,"8,70","11,67","10,33","14,00","7,20","7,53"
,"12,50","11,07","10,30","9,13","10,97","9,47"
,"12,20","7,10","7,10","17,20","11,70","6,80"
,"11,33","11,60","10,50","17,77","10,53","9,43"
,"11,70","12,03","12,70","14,87","10,83","10,27"
,"12,47","11,93","9,13","17,33","12,40","4,33"
,"11,77","11,23","10,00","14,13","12,13","10,03"
,"11,50","11,67","10,40","7,27","12,30","8,80"
,"11,27","12,53","8,07","10,00","11,23","10,23"
,"5,07","11,93","9,70","14,40","11,63","10,73"
,"11,13","11,43","10,70","16,27","12,63","11,30"
,"11,83","10,73","8,33","15,57","11,07","9,87"
,"11,73","10,87","9,70","16,43","12,33","10,53"
,"11,33","11,53","10,00","14,57","12,13","2,87"
,"10,90","11,03","9,57","6,97","12,23","10,43"
,"12,00","9,67","9,77","17,17","8,10","10,13"
,"11,43","11,33","8,00","13,17","10,90","9,93"
,"11,40","12,00","10,83","7,13","5,40","10,40"
,"11,13","12,00","9,67","16,10","8,97","9,83"
,"10,70","11,83","10,27","15,47","10,97","10,37"
,"2,93","9,73","6,53","16,27","11,87","9,47"
,"11,50","12,60","9,40","6,17","12,07","11,03"
,"10,47","11,30","8,37","14,13","11,47","10,37"
,"13,00","15,00","10,27","16,93","9,97","10,97"
,"2,83","11,27","8,03","8,10","12,03","10,50"
,"11,23","11,23","8,90","16,07","10,93","10,97"
,"11,00","12,30","6,27","9,57","7,33","5,83"
,"11,93","11,87","8,03","16,07","12,67","9,47"
,"12,10","11,93","10,63","6,17","12,03","10,47"
,"10,90","11,07","11,33","16,37","11,70","9,80"
,"11,90","10,70","11,13","8,13","9,07","10,47"
,"11,93","11,80","10,07","15,73","6,73","9,63"
,"11,83","13,33","5,70","15,93","11,63","9,80"
,"10,53","11,47","6,40","16,17","12,57","9,73"
,"11,80","11,43","7,83","14,70","10,17","11,50"
,"10,60","10,97","8,17","16,53","6,40","11,07"
,"10,93","11,13","8,40","14,13","10,23","9,77"
,"12,20","11,67","9,77","16,57","13,97","11,07"
,"11,37","12,57","10,53","8,47","11,60","9,77"
,"11,47","10,63","8,10","15,73","11,63","10,60"
,"11,50","10,87","3,90","14,53","12,17","5,93"
,"11,10","11,50","9,67","16,80","7,60","10,10"
,"12,57","12,37","9,43","15,57","12,17","10,07"
,"11,50","11,27","10,87","16,60","5,20","11,20"
,"10,80","12,43","9,83","14,60","8,77","9,77"
,"11,23","11,90","7,07","15,57","11,77","10,67"
,"10,47","12,60","7,57","16,33","9,33","12,23"
,"11,63","11,63","10,27","6,93","6,67","10,03"
,"10,90","11,10","8,03","15,47","8,00","9,63"
,"10,53","11,37","10,73","17,80","12,03","10,10"
,"11,73","11,07","7,90","17,63","11,20","11,30"
,"12,37","12,20","12,07","17,10","4,37","9,57"
,"11,43","10,70","8,13","14,70","11,17","10,63"
,"10,40","11,63","8,90","15,30","11,83","9,73"
,"11,13","7,00","10,43","8,73","11,67","8,03"
,"8,80","7,47","9,37","16,27","7,47","8,67"
,"11,73","10,93","9,87","9,17","11,10","10,00"
,"11,57","11,07","8,63","10,80","9,57","11,10"
,"12,23","10,67","10,47","8,27","11,17","9,63"